Date,Open,High,Low,Close,Adj Close,Volume
2022-10-07,93.180000,94.000000,87.129997,88.250000,83.404373,19715100
2022-10-10,87.709999,89.959999,87.209999,88.250000,83.404373,7429800
2022-10-11,87.739998,89.699997,86.739998,88.500000,83.640633,6898100
2022-10-12,88.739998,89.570000,87.800003,87.839996,83.016869,4926500
2022-10-13,86.480003,90.529999,86.279999,90.099998,85.152779,6056300
2022-10-14,90.849998,90.949997,89.129997,89.300003,84.396713,5475500
2022-10-17,89.989998,91.089996,89.660004,90.889999,85.899399,5493900
2022-10-18,92.250000,92.809998,90.870003,91.940002,86.891754,5659000
2022-10-19,91.900002,92.720001,91.110001,91.660004,86.627136,4004600
2022-10-20,91.459999,92.059998,90.650002,90.989998,86.513039,4798500
2022-10-21,90.839996,93.160004,90.040001,92.720001,88.157921,4919100
2022-10-24,93.910004,95.400002,93.730003,94.800003,90.135574,7183500
2022-10-25,91.129997,92.720001,90.760002,92.220001,87.682518,13822400
2022-10-26,93.160004,93.970001,92.720001,92.730003,88.167427,7619300
2022-10-27,93.000000,93.790001,92.519997,92.699997,88.138885,5610700
2022-10-28,92.919998,94.730003,92.519997,94.190002,89.555580,6761600
2022-10-31,93.739998,95.879997,92.870003,94.699997,90.040489,7401400
2022-11-01,94.610001,95.110001,93.519997,94.620003,89.964424,7009000
2022-11-02,96.510002,99.440002,96.000000,96.800003,92.037178,15502000
2022-11-03,96.250000,98.459999,95.239998,97.800003,92.987968,8406400
2022-11-04,98.589996,99.849998,97.779999,99.559998,94.661362,9416000
2022-11-07,99.400002,101.440002,99.330002,101.180000,96.201653,5595400
2022-11-08,101.400002,102.769997,101.000000,101.650002,96.648537,5650000
2022-11-09,101.650002,101.970001,99.449997,99.559998,94.661362,5047100
2022-11-10,101.879997,101.889999,98.370003,99.910004,94.994156,6308100
2022-11-11,99.750000,99.970001,95.050003,97.550003,92.750267,9174900
2022-11-14,97.879997,98.860001,97.139999,97.169998,92.388962,5018600
2022-11-15,97.800003,98.669998,97.160004,97.730003,92.921410,6569400
2022-11-16,97.870003,98.959999,95.830002,96.099998,91.371597,6940000
2022-11-17,95.730003,96.400002,94.739998,94.930000,90.259178,6427200
2022-11-18,95.599998,97.489998,95.599998,97.349998,92.560097,7294000
2022-11-21,97.250000,98.269997,97.250000,97.889999,93.073540,4842300
2022-11-22,99.050003,99.879997,98.550003,99.510002,94.613831,4904600
2022-11-23,99.769997,100.610001,99.699997,100.059998,95.136765,3359600
2022-11-25,100.610001,101.550003,100.190002,101.260002,96.277725,2464800
2022-11-28,100.709999,102.099998,100.070000,100.410004,95.469551,4585100
2022-11-29,100.190002,101.089996,100.110001,100.879997,95.916420,3428900
2022-11-30,100.459999,102.029999,99.800003,101.879997,96.867218,7858200
2022-12-01,102.190002,102.599998,100.959999,101.650002,96.648537,5047600
2022-12-02,101.169998,102.750000,101.089996,102.580002,97.532776,4478900
2022-12-05,101.879997,102.839996,101.720001,102.010002,96.990814,3645300
2022-12-06,101.839996,102.720001,100.540001,101.190002,96.211174,4060200
2022-12-07,101.360001,102.339996,101.349998,102.279999,97.247536,4824500
2022-12-08,102.500000,103.800003,102.279999,102.529999,97.485237,4063500
2022-12-09,102.169998,102.690002,101.529999,101.650002,96.648537,4383000
